id,feedback,relevance,concreteness,constructive
73,good,0,0,0
74,good,0,0,0
75,good,0,0,0
76,,0,0,0
77,有成功print出來,1,1,0
78,,0,0,0
79,,0,0,0
80,,0,0,0
81,,0,0,0
82,"很整齊
",1,0,0
83,,0,0,0
84,,0,0,0
85,沒有print出來,1,0,0
86,可被編譯 但沒有達成題目要求,1,1,0
87,只有三行 蠻整齊的,1,0,0
88,沒有 ,0,0,0
89,可編譯成功 但沒有達到題目要求,1,1,0
90,算整齊,1,0,0
91,有達到預期,0,0,0
92,成功print出來,1,0,0
93,很整齊!很棒,1,0,0
94,整齊,1,0,0
95,簡潔有力,0,0,0
96,繼續保持,0,0,0
97,什麼都沒有,1,0,0
98,可編譯，畢竟沒動,1,0,0
99,很整齊，很空曠,1,0,0
100,有喔!超級讚的!,0,0,0
101,成功print出來,1,0,0
102,很棒很整齊!!!,1,0,0
103,一切正常,0,0,0
104,一切很好,0,0,0
105,一切非常好,0,0,0
106,功能正常,0,0,0
107,成功，運行沒問題,1,0,0
108,整齊的咕嚕靈波,1,0,0
109,整齊,1,0,0
110,簡潔有力,0,0,0
111,繼續保持,0,0,0
112,good,0,0,0
113,good,0,0,0
114,good,0,0,0
115,,0,0,0
116,,0,0,0
117,,0,0,0
118,執行正常,0,0,0
119,編譯正常,0,0,0
120,TODO忘了刪但排版正常,1,0,0
121,,0,0,0
122,,0,0,0
123,,0,0,0
124,,0,0,0
125,,0,0,0
126,,0,0,0
127,執行正常,0,0,0
128,編譯正常,0,0,0
129,TODO忘了刪但排版正常,1,0,0
130,執行正常,0,0,0
131,編譯正常,0,0,0
132,TODO忘了刪但排版正常,1,0,0
133,很好,0,0,0
134,很好,0,0,0
135,沒問題,0,0,0
136,很好,0,0,0
137,很好,0,0,0
138,沒問題,0,0,0
139,很好,0,0,0
140,很好,0,0,0
141,沒問題,0,0,0
142,,0,0,0
143,,0,0,0
144,,0,0,0
145,,0,0,0
146,,0,0,0
147,,0,0,0
148,,0,0,0
149,,0,0,0
150,,0,0,0
151,,0,0,0
152,,0,0,0
153,,0,0,0
154,只需Hello world 不需要其他文字及符號,1,1,0
155,編譯沒問題,1,0,0
156,排版沒問題,1,0,0
157,,0,0,0
158,,0,0,0
159,,0,0,0
160,,0,0,0
161,,0,0,0
162,,0,0,0
163,,0,0,0
164,,0,0,0
165,,0,0,0
166,Hello World 中間可以不用有逗號,1,1,1
167,,0,0,0
168,,0,0,0
169,,0,0,0
170,,0,0,0
171,,0,0,0
172,跟題目的要求很符合,1,0,0
173,執行順利成功，輸出也沒問題,1,1,0
174,一看就瞭解，寫的蠻清楚,1,0,0
175,很符合題目的要求,1,0,0
176,執行上都沒問題，輸出也沒錯,1,1,0
177,寫的很清楚，很容易瞭解,1,0,0
178,很符合題目的要求,1,0,0
179,執行結果符合題目的要求，沒有任何問題,1,1,0
180,寫的很清楚，很容易瞭解,1,0,0
181,,0,0,0
182,,0,0,0
183,簡潔,0,0,0
184,good,0,0,0
185,good,0,0,0
186,good,0,0,0
187,good,0,0,0
188,good,0,0,0
189,good,0,0,0
190,沒看見內容,0,0,0
191,沒看見內容,0,0,0
192,沒看見內容,0,0,0
193,,0,0,0
194,,0,0,0
195,,0,0,0
196,沒看到內容,0,0,0
197,沒看到內容,0,0,0
198,沒看到內容,0,0,0
199,沒看到內容,0,0,0
200,沒看到內容,0,0,0
201,沒看到內容,0,0,0
202,沒有輸出Hello World,1,1,0
203,程式無法執行,1,0,0
204,排版整齊,1,0,0
205,有達成要求,1,0,0
206,編譯成功,0,0,0
207,排版整齊,1,0,0
208,有達成要求,1,0,0
209,編譯成功,0,0,0
210,排版整齊,1,0,0
211,有達成要求,1,0,0
212,編譯成功,0,0,0
213,排版整齊,1,0,0
214,符合題目要求,1,0,0
215,能夠被編譯成功,1,0,0
216,排版整齊,1,0,0
217,符合題目要求,1,0,0
218,編譯成功,0,0,0
219,排版整齊,1,0,0
220,符合題目要求,1,0,0
221,編譯成功,0,0,0
222,排版整齊,1,0,0
223,good job,0,0,0
224,good job,0,0,0
225,good job,0,0,0
226,good job,0,0,0
227,good job,0,0,0
228,good job,0,0,0
229,未完成,0,0,0
230,未完成,0,0,0
231,未完成,0,0,0
232,寫的很好,0,0,0
233,寫的很好,0,0,0
234,寫的很好,0,0,0
235,寫的很好,0,0,0
236,寫的很好,0,0,0
237,寫的很好,0,0,0
238,未完成作業,0,0,0
239,未完成作業,0,0,0
240,未完成作業,0,0,0
241,Good,0,0,0
242,Good,0,0,0
243,Good,0,0,0
244,Good,0,0,0
245,Good,0,0,0
246,Good,0,0,0
247,Good,0,0,0
248,Good,0,0,0
249,Good,0,0,0
250,沒有輸出Hello World,1,1,0
251,無法執行,1,0,0
252,排版整齊,1,0,0
253,沒有輸出Hello World,1,1,0
254,無法執行,1,0,0
255,排版整齊,1,0,0
256,沒有,0,0,0
257,並不行，沒有主要能輸出hello world的code,1,1,0
258,整齊 ,1,0,0
259,執行結果正確,1,1,0
260,可以編譯,0,0,0
261,整齊,1,0,0
262,是,0,0,0
263,成功,0,0,0
264,很整齊,1,0,0
265,good,0,0,0
266,good,0,0,0
267,good,0,0,0
268,good,0,0,0
269,good,0,0,0
270,good,0,0,0
271,good,0,0,0
272,good,0,0,0
273,good,0,0,0
274,,0,0,0
275,,0,0,0
276,,0,0,0
277,"要寫Hello World,不是Hello,World!",1,1,0
278,,0,0,0
279,,0,0,0
280,they print nothing,0,0,0
281,yes but there is no argument so there is no output,1,1,0
282,they don't print anything,1,0,0
283,,0,0,0
284,,0,0,0
285,,0,0,0
286,,0,0,0
287,,0,0,0
288,,0,0,0
289,,0,0,0
290,,0,0,0
291,,0,0,0
292,沒寫程式碼,1,0,0
293,,0,0,0
294,,0,0,0
295,沒有程式碼,1,0,0
296,,0,0,0
297,,0,0,0
298,沒有程式碼,1,0,0
299,,0,0,0
300,,0,0,0
301,good,0,0,0
302,good,0,0,0
303,good,0,0,0
304,good,0,0,0
305,good,0,0,0
306,good,0,0,0
307,,0,0,0
308,,0,0,0
309,,0,0,0
310,未印出Hello World,1,1,0
311,,0,0,0
312,,0,0,0
313,,0,0,0
314,,0,0,0
315,,0,0,0
316,沒輸出Hello World,1,1,0
317,無法編譯,0,0,0
318,沒打程式,1,0,0
319,未輸出Hello World,1,1,0
320,無法執行,1,0,0
321,沒打程式,1,0,0
322,,0,0,0
323,,0,0,0
324,,0,0,0
325,,0,0,0
326,,0,0,0
327,,0,0,0
328,,0,0,0
329,,0,0,0
330,,0,0,0
331,,0,0,0
332,,0,0,0
333,,0,0,0
334,,0,0,0
335,,0,0,0
336,,0,0,0
337,,0,0,0
338,,0,0,0
339,,0,0,0
340,,0,0,0
341,,0,0,0
342,,0,0,0
343,檔案只有一個，沒有程式出現，注意上傳是否有成功正確,1,1,0
344,檔案只有一個，沒有程式出現，注意上傳是否有成功正確,1,1,0
345,檔案只有一個，沒有程式出現，注意上傳是否有成功正確,1,1,0
346,,0,0,0
347,,0,0,0
348,,0,0,0
349,,0,0,0
350,,0,0,0
351,,0,0,0
352,是,0,0,0
353,符合 使用了每個所需單字的第一個字母,1,1,0
354,有,0,0,0
355,,0,0,0
356,,0,0,0
357,,0,0,0
358,程式碼很精簡,1,0,0
359,命名沒有很清楚,1,0,0
360,簡單到不用註解！,1,0,0
361,沒code,0,0,0
362,沒code,0,0,0
363,沒code,0,0,0
364,程式功能齊全,1,0,0
365,程式碼整齊易讀,1,0,0
366,簡單到不用註解,1,1,0
367,沒code,0,0,0
368,沒code,0,0,0
369,沒code,0,0,0
370,"1. 沒有輸出體重狀態
2. 體重輸出小數點第一位 ( line 15 )",1,1,0
371,,0,0,0
372,,0,0,0
373,功能齊全,1,0,0
374,變數名稱可以更清楚,1,1,1
375,簡單到不用註解,1,1,0
376,身高單位顯示錯誤,1,1,0
377,有利用好辨識的變數名稱,1,1,0
378,沒有註解,1,0,0
379,有印出正確結果,1,1,0
380,符合變數名稱格式,1,0,0
381,可以多加註解,1,0,1
382,作業未達到要求，程式碼完全無法執行,1,1,0
383,沒有變數,1,0,0
384,沒有註解,1,0,0
385,"1. BMI輸出格式不對 line13
2. 題目輸入身高為公分，但代碼中輸入的是公尺",1,1,0
386,,0,0,0
387,,0,0,0
388,,0,0,0
389,,0,0,0
390,,0,0,0
391,,0,0,0
392,,0,0,0
393,,0,0,0
394,符合老師要求,1,0,0
395,能夠順利執行編譯,1,1,0
396,排班乾淨整齊,1,0,0
397,,0,0,0
398,,0,0,0
399,,0,0,0
400,,0,0,0
401,,0,0,0
402,,0,0,0
403,good job,0,0,0
404,BMICalculator.java都有使用好理解的命名BMIStatusChecker.java的String a 可以更改為更好理解的名稱,1,1,1
405,可在計算的前方增加註解，例如: //計算BMI 、//身高單位轉換成公尺,1,1,1
406,能夠達到要求,1,0,0
407,可以成功編譯並執行,1,0,1
408,版面整潔清晰,1,0,0
409,1. BMI輸出格式不對 line13 2. 題目輸入身高為公分，但代碼中輸入的是公尺,1,1,0
410,,0,0,0
411,,0,0,0
412,有,0,0,0
413,有,0,0,0
414,無,0,0,0
415,達到題目要求,1,0,0
416,能編譯並執行,1,0,0
417,程式碼乾淨易理解,1,0,0
418,,0,0,0
419,,0,0,0
420,,0,0,0
421,,0,0,0
422,,0,0,0
423,,0,0,0
424,有印出正確結果,1,1,0
425,有符合變數名稱格式,1,0,0
426,可以多加註解,1,0,1
427,有完成題目要求,1,0,0
428,有依照真實的資料去命名,0,0,0
429,有給輸入提示，使用者可以明確知道要做甚麼,1,1,0
430,,0,0,0
431,,0,0,0
432,,0,0,0
433,沒有輸出Hello World,1,1,0
434,,0,0,0
435,,0,0,0
436,簡潔,0,0,0
437,PASS,0,0,0
438,PASS,0,0,0
439,有印出正確結果,1,1,0
440,有符合變數名稱格式,1,0,0
441,有註解，但可以再多加,1,0,1
442,否，BMICalculator.java檔案中只需輸出身高、體重、BMI需要自行增加一個檔案BMIStatusChecker.java，當使用者手動輸入一個 BMI 值，再輸出對應的體重狀態。,1,1,1
443,good job,0,0,0
444,good job,0,0,0
445,第一題題目要求print取兩位小數，作業只print出一位,1,1,0
446,well,0,0,0
447,well,0,0,0
448,good job,0,0,0
449,變數名稱因為縮寫，可能會讓審查人員不清楚變數真實是什麼,1,1,0
450,可增加註解，例如 : //計算BMI 、//將身高從公分轉換為公尺,1,1,1
451,第一題題目印出小數後兩位，作業印出小數後六位,1,1,0
452,well,0,0,0
453,good,0,0,0
454,第一題題目印出小數後兩位，但作業只跑出小數後一位,1,1,0
455,well,0,0,0
456,well,0,0,0
457,有,0,0,0
458,有,0,0,0
459,無,0,0,0
460,有印出正確結果,1,1,0
461,符合變數名稱格式,1,0,0
462,可以多加註解,1,0,1
463,有印出正確結果,1,1,0
464,符合變數名稱格式,1,0,0
465,可以多加註解,1,0,1
466,符合題目要求,1,0,0
467,命名很清楚,1,0,0
468,沒有註解說明,1,0,0
469,沒有上傳作業,1,0,0
470,no,0,0,0
471,no,0,0,0
472,身高少加了一公尺,1,1,0
473,,0,0,0
474,沒有註解,1,0,0
475,,0,0,0
476,,0,0,0
477,,0,0,0
478,符合題目要求,1,0,0
479,命名很清楚,1,0,0
480,有註解說明,1,0,0
481,輸出體重時，應該要印出至小數點後兩位,1,1,0
482,變數名稱清晰,1,0,0
483,註解可以再寫得更清楚一點,1,0,1
484,輸出的身高和體重沒有單位,1,1,0
485,有,0,0,0
486,沒有,0,0,0
487,,0,0,0
488,,0,0,0
489,,0,0,0
490,,0,0,0
491,,0,0,0
492,,0,0,0
493,符合要求,1,0,0
494,編譯成功，順利輸出,1,1,0
495,排版清楚,0,0,0
496,,0,0,0
497,,0,0,0
498,,0,0,0
499,,0,0,0
500,,0,0,0
501,"沒有註解
",1,0,0
502,符合要求,1,0,0
503,編譯成功，且順利輸出,1,1,0
504,排版清楚,0,0,0
505,符合題目要求,1,0,0
506,命名很清楚,1,0,0
507,沒有註解說明,1,0,0
508,符合要求,1,0,0
509,編譯成功，且順利輸出,1,1,0
510,排版整齊,1,0,0
511,輸出的身高和體重沒有單位,1,1,0
512,,0,0,0
513,沒有註解,1,0,0
514,ok,0,0,0
515,身高的單位打成公斤了,1,1,0
516,沒有註解,1,0,0
517,第一題身高輸出錯誤,1,1,0
518,,0,0,0
519,,0,0,0
520,符合題目要求,1,0,0
521,編譯成功，且輸出正確,1,1,0
522,可以新增一些註解,1,0,1
523,有,0,0,0
524,有,0,0,0
525,無,0,0,0
526,建議提示使用者輸入,1,1,1
527,簡單易懂,1,0,0
528,簡單易懂,1,0,0
529,?,0,0,0
530,?,0,0,0
531,?,0,0,0
532,,0,0,0
533,,0,0,0
534,,0,0,0
535,,0,0,0
536,,0,0,0
537,,0,0,0
538,,0,0,0
539,,0,0,0
540,,0,0,0
541,,0,0,0
542,,0,0,0
543,,0,0,0
544,符合題目要求,1,0,0
545,符合,1,0,0
546,可新增一些註解,1,0,1
547,,0,0,0
548,,0,0,0
549,,0,0,0
550,,0,0,0
551,,0,0,0
552,,0,0,0
553,,0,0,0
554,,0,0,0
555,,0,0,0
556,符合題目,1,0,0
557,變數名稱清楚易懂,1,0,0
558,可新增註解,1,0,1
559,提示使用者輸入,1,1,0
560,繼續保持,0,0,0
561,繼續保持,0,0,0
562,輸出沒有身高和體重的單位,1,1,0
563,有,0,0,0
564,有,0,0,0
565,第二題題目沒有要求超出範圍的輸出,1,1,0
566,,0,0,0
567,,0,0,0
568,第一題要取到小數點第二位,1,1,0
569,,0,0,0
570,,0,0,0
571,建議printf 改成 print,1,1,1
572,簡單明瞭,0,0,0
573,簡單明瞭,0,0,0
574,,0,0,0
575,,0,0,0
576,,0,0,0
577,輸出內容錯誤,1,1,0
578,,0,0,0
579,,0,0,0
580,,0,0,0
581,,0,0,0
582,,0,0,0
583,第一題體重的輸出沒有印出小數點後兩位,1,1,0
584,,0,0,0
585,,0,0,0
586,,0,0,0
587,有 清楚明瞭的打出了單字,1,0,0
588,有的,0,0,0
589,有,0,0,0
590,有,0,0,0
591,沒特別說明,1,0,0
592,有,0,0,0
593,有,0,0,0
594,沒有特別說明,1,0,0
595,有,0,0,0
596,有,0,0,0
597,有說明,0,0,0
598,,0,0,0
599,有的 使用的完整的單字來表示變數名稱,1,1,0
600,,0,0,0
601,兩份程式輸出排版稍有錯誤（敘述後應為一個全形冒號、不加空白），但程式計算結果正確,1,1,1
602,"keyboard 少一個 a 建議使用 Camel Case 命名，如 bmiResult、hResult",1,1,1
603,程式未註解,1,0,0
604,第一題輸出的體重和身高沒有到小數點第二位,1,1,0
605,,0,0,0
606,,0,0,0
607,,0,0,0
608,,0,0,0
609,,0,0,0
610,,0,0,0
611,,0,0,0
612,,0,0,0
613,,0,0,0
614,,0,0,0
615,,0,0,0
616,薛丁德的程式碼,1,0,0
617,沒有變數，所以沒問題,1,0,0
618,空的程式配空的註解,1,0,0
619,good,0,0,0
620,good,0,0,0
621,good,0,0,0
622,good,0,0,0
623,good,0,0,0
624,good,0,0,0
625,mission accomplished,1,0,0
626,非常的完美,0,0,0
627,原來這功課要寫註解？！但我看得懂，很OK的。,1,0,0
628,good,0,0,0
629,good,0,0,0
630,good,0,0,0
631,沒有寫,0,0,0
632,沒有寫,0,0,0
633,沒有寫,0,0,0
634,輸出體重時，數值要印出到小數點後兩位,1,1,0
635,變數名稱清晰,1,0,0
636,註解可以寫得再詳細一點,1,0,1
637,輸出結果沒有換行看得很辛苦，bmi算出來有點奇怪,1,1,0
638,,0,0,0
639,沒註解但沒關係我看得懂,1,0,0
640,完美達成,0,0,0
641,,0,0,0
642,雖然沒註解但我看得懂,1,0,0
643,完美達成,0,0,0
644,符合,1,0,0
645,沒有註解但我看得懂,1,0,0
646,兩份程式輸出排版稍有錯誤（體重應輸出到小數點後兩位、敘述後應為一個全形冒號，不加空白），但程式計算結果正確,1,1,1
647,建議非常數勿使用全大寫命名，可將 BMI 變數改為 bmi、建議將變數 a 更名為 bmiStatus,1,1,1
648,註解清晰,1,0,0
649,計算結果基本上正確，但程式未按照題目要求編寫：BMICalculator2.java 應更名為 BMICalculator.java、身高應輸出到小數點後兩位、體重狀態為 BMIStatusChecker.java 需實作，但被合併到 BMICalculator.java,1,1,1
650,變數命名清楚、有依照命名規則命名,1,1,0
651,註解詳細、清晰,1,0,0
652,,0,0,0
653,,0,0,0
654,,0,0,0
655,,0,0,0
656,,0,0,0
657,,0,0,0
658,,0,0,0
659,,0,0,0
660,,0,0,0
661,"基本上沒問題只有在BMICalculator""上，因爲題目設定的範圍裡面 ""29.9"" 沒有屬於""肥胖""，但輸入29.9時輸出""肥胖""，但是我不確定這個是不是題目的錯誤""",1,1,0
662,我覺得很看得清楚(very explicit),0,0,0
663,程式碼上沒有特別用方法，其他程式碼都很明確,1,1,0
665,"hight -> height, keybosrd -> keyboard，其他都很容易瞭解",1,0,0
666,每個階段都有用注解來説明，很好的感覺,1,1,0
668,"都很明確，只有在BMIStatusChecker""上""Stirng a""變數，雖然瞭解程式碼上沒問題，但如果改到""status“之類的更完美(個人想法)""",1,1,0
669,沒有特別用方法，所以沒有特別用到注解，但程式碼很明確,1,1,0
670,有 印出結果正確,1,1,0
671,有 符合變數名稱,1,0,0
672,沒有增加註解,1,0,0
673,有 印出正確結果,1,1,0
674,有符合變數名稱格式,1,0,0
675,有加註解,1,0,0
676,有 但可以把小數點縮成兩位,1,1,1
677,有符合變數名稱格式,1,0,0
678,沒有註解,1,0,0
679,"Better using english when coding but still good work ,keep going",1,1,0
680,"Better using english when coding but still good work ,keep going",1,1,0
681,"Better using english when coding but still good work ,keep going",1,1,0
682,"Better using english when coding but still good work ,keep going",1,1,0
683,"Better using english when coding but still good work ,keep going",1,1,0
684,"Better using english when coding but still good work ,keep going",1,1,0
685,"Better using english when coding but still good work ,keep going",1,1,0
686,"Better using english when coding but still good work ,keep going",1,1,0
687,"Better using english when coding but still good work ,keep going",1,1,0
688,有,0,0,0
689,變數名稱符合要求，容易判讀變數作用,1,1,0
690,註解明確，容易理解,1,0,0
691,有,0,0,0
692,變數名稱符合input數值，容易判讀,1,1,0
693,"程式較簡單，直接判讀即可，容易理解
(Btw.第二個檔案名稱取錯)",1,1,1
694,"有一點小錯誤，第二個BMIStatusChecker的判斷少一個過重""，其餘都沒有問題""",1,1,0
695,有,0,0,0
696,有,0,0,0
697,,0,0,0
698,,0,0,0
699,,0,0,0
700,,0,0,0
701,,0,0,0
702,,0,0,0
703,未依規定做輸入及輸出的格式，雖然用空格輸入體重身高還是可以運行，但用C的換行讀取方法來寫，可以修改一下,1,1,1
704,題目要求兩個檔案命名應為BMICalculator.java及BMIStatusChecker.java，卻將檢查BMI狀態的檔案命名為BMICalculator2.java,1,1,0
705,,0,0,0
706,,0,0,0
707,,0,0,0
708,,0,0,0
709,"BMICalcaltor.java(printed number BMI should  be only 2 number after the ."")""",1,1,0
710,,0,0,0
711,No explaination,0,0,0
712,there are errors in BMIStatusChecker.java in your if statement,1,1,0
713,,0,0,0
714,no explanation in BMIStatusChecker.java,1,1,0
715,PASS,0,0,0
716,PASS,0,0,0
717,PASS,0,0,0
718,BMICalculator的身高部分，單位應更改為公尺,1,1,0
719,PASS,0,0,0
720,PASS,0,0,0
721,在判斷條件中，應該使用 && 而非 &,1,1,0
722,PASS,0,0,0
723,PASS,0,0,0
724,"BMICalculator.java 體重應輸出到小數第二位，BMI後多一空格但無傷大雅。
BMICalculator.java 沒有問題。",1,1,0
725,變數名稱明瞭,1,0,0
726,,0,0,0
727,符合要求!,1,0,0
728,可編譯成功,0,0,0
729,有標示清楚的函式註解,1,0,0
730,沒有達到題目要求,1,0,0
731,可執行，但沒有出現東西,1,0,0
732,沒有標函式註解,1,0,0
733,符合題目要求,1,0,0
734,可編譯成功,0,0,0
735,有清楚的函式註解,1,0,0
736,,0,0,0
737,,0,0,0
738,,0,0,0
739,,0,0,0
740,,0,0,0
741,,0,0,0
742,,0,0,0
743,,0,0,0
744,,0,0,0
745,"no output Enter the second number:""""",1,1,0
746,,0,0,0
747,,0,0,0
748,,0,0,0
749,,0,0,0
750,,0,0,0
751,沒有程式碼,1,0,0
752,沒有程式碼,1,0,0
753,沒有程式碼,1,0,0
754,,0,0,0
755,,0,0,0
756,有的，每個功能前都有說明,1,0,0
757,達到要求,0,0,0
758,可以,0,0,0
759,沒有註解,1,0,0
761,可以順利編譯,1,0,1
762,沒有註解,1,0,0
763,第二題印出的小數點可以不需要10*5=50這樣就可以,1,1,1
764,,0,0,0
765,,0,0,0
766,程式工整,1,0,0
767,繼續保持,0,0,0
768,註釋清楚,1,0,0
769,第二題應該是一次輸完三個數值，再將他一次印出10*5=50,1,1,0
770,well,0,0,0
771,well,0,0,0
772,2題都有達到題目要求,1,0,0
773,恭喜成功執行,0,0,0
774,我很抱歉，雖然我看得懂，還是請你下次要加註解喔,0,0,0
775,MultiplicationTable應該每計算完一對數字就跳過下一對數字,1,1,0
776,有編譯成功,0,0,0
777,沒有寫註解,1,0,0
778,,0,0,0
779,,0,0,0
780,一行都沒有,1,0,0
781,第一題不符合題意,1,0,0
782,,0,0,0
783,沒有註解,1,0,0
785,都能夠,0,0,0
786,,0,0,0
787, Multiplication Table : output 沒有空格,1,1,0
788,,0,0,0
789,沒有標示註解,1,0,0
790,,0,0,0
791,,0,0,0
792,,0,0,0
793,第二題不符合題意,1,0,0
794,,0,0,0
795,無註解,1,0,0
796,"MultiplicationTable:格式錯誤(2 x 1 = 2, 2 x 3 = 6, 2 x 5 = 10, 2 x 7 = 14, 2 x 9 = 182 x 2 = 4, 2 x 4 = 8, 2 x 6 = 12, 2 x 8 = 16)
Calculator:答案正確，輸出格式與範例不同",1,1,1
797,可以,0,0,0
798,沒有註解,1,0,0
799,,0,0,0
800,,0,0,0
801,沒有標示註解,1,0,0
802,乘法表與題目不同,1,0,0
803,,0,0,0
804,,0,0,0
805,有達到題目要求,1,0,0
806,恭喜成功編譯,0,0,0
807,雖然我看得懂程式碼，但是你沒有寫註解，還是不能給過，提醒一下，每次都要寫註解喔!!!,1,0,0
809,可以,0,0,0
810,,0,0,0
811,功能齊全,1,0,0
812,順利編譯,0,0,0
813,解釋詳盡,0,0,0
814,第二題的計算機中%輸出錯了,1,1,0
815,,0,0,0
816,,0,0,0
817,,0,0,0
818,,0,0,0
819,有註解,1,0,0
820,,0,0,0
821,,0,0,0
822,隨便打一行也行,1,1,0
823,pass,0,0,0
824,pass,0,0,0
825,pass,0,0,0
826,第一題輸出格式錯誤,1,1,0
827,,0,0,0
828,有完整註解,1,0,0
829,雖然有完成作業 但須注意Checksytle,1,0,0
830,,0,0,0
831,,0,0,0
832,,0,0,0
833,,0,0,0
834,,0,0,0
835,,0,0,0
836,,0,0,0
837,,0,0,0
838,缺少Javadoc及需注意Checkstyle,1,1,0
839,,0,0,0
840,缺少Javadoc及需注意Checkstyle,1,1,0
841,符合題目要求,1,0,0
842,程式整潔,1,0,0
843,意義明確,0,0,0
844,,0,0,0
845,,0,0,0
846,,0,0,0
847,"'/','%'功能再除以0時回報錯誤",1,1,0
848,成功編譯,0,0,0
849,解釋詳盡,0,0,0
850,,0,0,0
851,,0,0,0
852,,0,0,0
853,,0,0,0
854,,0,0,0
855,,0,0,0
856,,0,0,0
857,,0,0,0
858,沒有排版和加註解,1,0,0
859,,0,0,0
860,,0,0,0
861,"沒有註解和排版
",1,0,0
862,,0,0,0
863,,0,0,0
864,缺少Javadoc  盡量用英文來完成Javadoc,1,1,0
865,第一題輸入格式錯誤,1,1,0
866,,0,0,0
867,第一題缺少註解,1,1,0
868,"運算符號是 / 或 % 且第二個數字是 0，只要顯示 Division by zero is not allowed"" ，不用輸出運算過程""",1,1,1
869,,0,0,0
870,,0,0,0
871,記得寫功課,0,0,0
872,記得寫功課,0,0,0
873,記得寫功課,0,0,0
874,輸出正確,1,0,0
875,繼續保持,0,0,0
876,名稱代號明確,1,0,0
877,MultiplicationTable應該每計算完一對數字就跳過下一對數字,1,1,0
878,有編譯成功,0,0,0
879,沒有寫註解,1,0,0
880,有,0,0,0
881,是,0,0,0
882,沒有註解,1,0,0
883,有,0,0,0
884,是,0,0,0
885,註解非常清楚 讚讚,1,0,0
886,好的,0,0,0
887,成功,0,0,0
888,完全沒有評論,1,0,0
889,有,0,0,0
890,是,0,0,0
891,沒有註解,1,0,0
892,,0,0,0
893,,0,0,0
894,,0,0,0
895,,0,0,0
896,,0,0,0
897,,0,0,0
898,符合題目要求,1,0,0
899,編譯成功,0,0,0
900,有,0,0,0
901,好的,0,0,0
902,好的,0,0,0
903,完全沒有評論,1,0,0
904,符合題目要求,1,0,0
905,編譯成功,0,0,0
906,有,0,0,0
907,符合題目要求,1,0,0
908,有編譯成功,0,0,0
909,沒有寫註解,1,0,0
910,好的,0,0,0
911,好的,0,0,0
912,沒有評論,0,0,0
913,符合題目要求,1,0,0
914,是否編譯成功 ,0,0,0
915,有,0,0,0
916,計算機 0 在分母時， / 和 % 會出現錯的結果,1,1,0
917,可以,0,0,0
918,沒註解,1,0,0
919,,0,0,0
920,,0,0,0
921,無註解,1,0,0
922,,0,0,0
923,,0,0,0
924,沒有註解,1,0,0
925,計算機 0 在分母時， / 和 % 會出現錯的結果,1,1,0
926,可以,0,0,0
927,有,0,0,0
928,,0,0,0
929,,0,0,0
930,"沒有註解
",1,0,0
931,沒寫,0,0,0
932,沒寫,0,0,0
933,沒寫,0,0,0
934,Pass,0,0,0
935,Pass,0,0,0
936,無註解,1,0,0
937,,0,0,0
938,,0,0,0
939,"沒有註解
",1,0,0
940,沒有輸入提示,1,0,0
941,,0,0,0
942,,0,0,0
943,沒寫,0,0,0
944,沒寫,0,0,0
